id,capability,category,first_seen,last_seen,domain,stated_status_in_source,backlog_row,prompt_ids
INV1-0011,Phase 1 — Foundation (shipped 2026-04-25),docs & process,docs/architecture/data_quality_self_learning_loop.md:38 (2026-04-25),docs/architecture/data_quality_self_learning_loop.md:38 (2026-04-25),lcc,stated: shipped/live,,
INV1-0012,Phase 2 — Wire write paths to record (in progress),docs & process,docs/architecture/data_quality_self_learning_loop.md:66,docs/architecture/data_quality_self_learning_loop.md:66,lcc,stated: partial/in progress,,
INV1-0013,Phase 2.1 — OM intake promoter ✅ SHIPPED 2026-04-25,ingestion,docs/architecture/data_quality_self_learning_loop.md:70 (2026-04-25),docs/architecture/data_quality_self_learning_loop.md:70 (2026-04-25),lcc,stated: shipped/live,,
INV1-0014,Phase 2.2 — CoStar sidebar pipeline (in progress),ingestion,docs/architecture/data_quality_self_learning_loop.md:81,docs/architecture/data_quality_self_learning_loop.md:81,lcc,stated: partial/in progress,,
INV1-0015,Phase 2.3 — CMS chain-org sync ⏳ NOT STARTED,ingestion,docs/architecture/data_quality_self_learning_loop.md:106,docs/architecture/data_quality_self_learning_loop.md:106,dia,stated: not started/planned,,
INV1-0016,Phase 2.4 — County records sync ⏳ NOT STARTED,ingestion,docs/architecture/data_quality_self_learning_loop.md:110,docs/architecture/data_quality_self_learning_loop.md:110,lcc,stated: not started/planned,,
INV1-0017,Phase 2.5 — Manual edits ⏳ NOT STARTED,docs & process,docs/architecture/data_quality_self_learning_loop.md:114,docs/architecture/data_quality_self_learning_loop.md:114,lcc,stated: not started/planned,,
INV1-0018,Phase 2.6 — Salesforce two-way sync ⏳ NOT STARTED,ingestion,docs/architecture/data_quality_self_learning_loop.md:118,docs/architecture/data_quality_self_learning_loop.md:118,lcc,stated: not started/planned,,
INV1-0019,Phase 3 — Flip enforcement (after Phase 2 + tuning),docs & process,docs/architecture/data_quality_self_learning_loop.md:124,docs/architecture/data_quality_self_learning_loop.md:124,lcc,stated: unspecified (finding/round note),,
INV1-0020,Phase 4 — Self-learning loop,docs & process,docs/architecture/data_quality_self_learning_loop.md:133,docs/architecture/data_quality_self_learning_loop.md:133,lcc,stated: unspecified (finding/round note),,
INV1-0021,A1. Station count (you saw 171 vs 29 → truth is 13),BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:30,docs/architecture/dossier-v2-audit-and-triage.md:30,lcc,stated: unspecified (finding/round note),,
INV1-0022,"A2. Patient count (2,475 vs 33 → truth is 33)",BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:37,docs/architecture/dossier-v2-audit-and-triage.md:37,lcc,stated: unspecified (finding/round note),,
INV1-0023,A3. Treatments / revenue / EBITDA (property revenue = $104.6M is impossible),BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:43,docs/architecture/dossier-v2-audit-and-triage.md:43,lcc,stated: unspecified (finding/round note),,
INV1-0024,"A4. Relocation / certification history (certified 2003, moved here 2017/2018)",BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:53,docs/architecture/dossier-v2-audit-and-triage.md:53,lcc,stated: unspecified (finding/round note),,
INV1-0025,B1. Rent/SF not calculating (you have rent + building size),BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:66,docs/architecture/dossier-v2-audit-and-triage.md:66,lcc,stated: unspecified (finding/round note),,B1
INV1-0026,B2. Current (escalated) rent not calculating from the schedule,BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:72,docs/architecture/dossier-v2-audit-and-triage.md:72,lcc,stated: unspecified (finding/round note),,B2
INV1-0027,B3. Guarantor + tenant as distinct rows; guaranty limited to Initial Term,BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:82,docs/architecture/dossier-v2-audit-and-triage.md:82,lcc,stated: unspecified (finding/round note),B3,B3
INV1-0028,B4. Term remaining,BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:92,docs/architecture/dossier-v2-audit-and-triage.md:92,lcc,stated: unspecified (finding/round note),,B4
INV1-0029,"C1. Full sale history (we show 1; there are 3, reconciled to 1 live)",BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:100,docs/architecture/dossier-v2-audit-and-triage.md:100,lcc,stated: shipped/live,,
INV1-0030,C2. Currently on market — nothing shown,BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:109,docs/architecture/dossier-v2-audit-and-triage.md:109,lcc,stated: unspecified (finding/round note),,
INV1-0031,C3. Prior listings (asking-price history + brokers each time),BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:117,docs/architecture/dossier-v2-audit-and-triage.md:117,lcc,stated: unspecified (finding/round note),,
INV1-0032,C4. Historical transaction ordering,BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:124,docs/architecture/dossier-v2-audit-and-triage.md:124,lcc,stated: unspecified (finding/round note),,
INV1-0033,C5. LCC value estimate — needs a basis + $/SF,BOV / OM / dossier,docs/architecture/dossier-v2-audit-and-triage.md:128,docs/architecture/dossier-v2-audit-and-triage.md:128,lcc,stated: unspecified (finding/round note),,
INV1-0034,"BREAK-3 — owner resolution coverage (severity: MEDIUM, **35.9% → 49.2%**, Prompt 113)",ownership,docs/architecture/connectivity-and-open-threads.md:570,docs/architecture/connectivity-and-open-threads.md:570,lcc,stated: unspecified (finding/round note),,
INV1-0035,"4d. BREAK-2 follow-on — A2 enrolment + the sweeps nobody scheduled (2026-08-15, SHIPPED)",docs & process,docs/architecture/connectivity-and-open-threads.md:700 (2026-08-15),docs/architecture/connectivity-and-open-threads.md:700 (2026-08-15),lcc,stated: shipped/live,,
INV1-0036,"Classified + dry-run 2026-08-16 → **prompt 116**, and the design changed",docs & process,docs/architecture/connectivity-and-open-threads.md:751 (2026-08-16),docs/architecture/connectivity-and-open-threads.md:751 (2026-08-16),lcc,stated: unspecified (finding/round note),,
INV1-0037,4e. Chain re-measured 2026-08-28 (C2) — the gate is ASSET IDENTITY,identity,docs/architecture/connectivity-and-open-threads.md:832 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:832 (2026-08-28),lcc,stated: unspecified (finding/round note),,
INV1-0038,"4e-i. C2a measured the floor curve (2026-08-28) — the rate holds, the OWNERS do not",ownership,docs/architecture/connectivity-and-open-threads.md:862 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:862 (2026-08-28),lcc,stated: unspecified (finding/round note),,
INV1-0039,"4f. C2a — the rent-floor curve, and Scott's decision (2026-08-28)",docs & process,docs/architecture/connectivity-and-open-threads.md:907 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:907 (2026-08-28),lcc,stated: unspecified (finding/round note),,
INV1-0040,"4i. C2e — tranche one MINTED; the noise cost measured, and mostly not real (2026-08-28)",docs & process,docs/architecture/connectivity-and-open-threads.md:1028 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1028 (2026-08-28),lcc,stated: unspecified (finding/round note),,
INV1-0041,4k. C2e-T2a — tranche two step one MINTED; the prediction missed by 2 and the 2 were the finding (2026-08-28),docs & process,docs/architecture/connectivity-and-open-threads.md:1120 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1120 (2026-08-28),lcc,stated: unspecified (finding/round note),,
INV1-0042,"4j. ⚠️ THE UNCONNECTED-SOURCE CLASS — gov never consumed its own sales table (B4→B5→B6, 2026-08-28)",docs & process,docs/architecture/connectivity-and-open-threads.md:1209 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1209 (2026-08-28),gov,stated: flagged issue/footgun,,B4;B5;B6
INV1-0043,4i.5 — C2e cross-window state notes (verified 2026-08-28),docs & process,docs/architecture/connectivity-and-open-threads.md:1260 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1260 (2026-08-28),lcc,stated: unspecified (finding/round note),,
INV1-0044,"Still not measured (C2e §8) — ⚠️ re-read against §4k, which closed part of this list",docs & process,docs/architecture/connectivity-and-open-threads.md:1327,docs/architecture/connectivity-and-open-threads.md:1327,lcc,stated: refuted/retired,,
INV1-0045,§4j — B6: the owner/lessee change-signal matrix (2026-08-28),ownership,docs/architecture/connectivity-and-open-threads.md:1337 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1337 (2026-08-28),lcc,stated: unspecified (finding/round note),,B6
INV1-0046,"4j. B6b — the GSA landlord-change layer, restarted (2026-08-28)",docs & process,docs/architecture/connectivity-and-open-threads.md:1410 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1410 (2026-08-28),gov,stated: unspecified (finding/round note),,B6b
INV1-0047,4k. C2e-T2a — tranche two step one MINTED. gov asset coverage 39.2% → 57.8%.,docs & process,docs/architecture/connectivity-and-open-threads.md:1482,docs/architecture/connectivity-and-open-threads.md:1482,gov,stated: unspecified (finding/round note),,
INV1-0048,"4l. C2b — the Salesforce bridge SELF-HEALED, and the residue is not an owner problem",ownership,docs/architecture/connectivity-and-open-threads.md:1548,docs/architecture/connectivity-and-open-threads.md:1548,lcc,stated: unspecified (finding/round note),,
INV1-0049,4m. C2g — why 489 anchored owner-orgs are unresolved. Both leading hypotheses were WRONG.,ownership,docs/architecture/connectivity-and-open-threads.md:1585,docs/architecture/connectivity-and-open-threads.md:1585,lcc,stated: unspecified (finding/round note),,
INV1-0050,"4n. C2h — the ""silent feeder"" resolved every one of them. It is the sponsor↔SPE gap.",ingestion,docs/architecture/connectivity-and-open-threads.md:1655,docs/architecture/connectivity-and-open-threads.md:1655,lcc,stated: unspecified (finding/round note),,
INV1-0051,"§4l — B6c: `property_sale_events` — the table has a future, the two link columns do not (2026-08-28)",docs & process,docs/architecture/connectivity-and-open-threads.md:1697 (2026-08-28),docs/architecture/connectivity-and-open-threads.md:1697 (2026-08-28),lcc,stated: unspecified (finding/round note),,B6c
INV1-0052,4o. C4 — the ranking layer: the whole BD queue is gated on one unset column,BD engine,docs/architecture/connectivity-and-open-threads.md:1799,docs/architecture/connectivity-and-open-threads.md:1799,lcc,stated: unspecified (finding/round note),,
INV1-0053,"4p. C5 — the callable list, and the `buyer` exclusion is the larger half",docs & process,docs/architecture/connectivity-and-open-threads.md:1932,docs/architecture/connectivity-and-open-threads.md:1932,lcc,stated: unspecified (finding/round note),,
INV1-0054,"⚠️ C4e answered — the `buyer` exclusion is a category error, not a bad label",docs & process,docs/architecture/connectivity-and-open-threads.md:1945,docs/architecture/connectivity-and-open-threads.md:1945,lcc,stated: flagged issue/footgun,,
INV1-0055,"⚠️ C5b answered — and it corrects the ""narrower"" framing above",BOV / OM / dossier,docs/architecture/connectivity-and-open-threads.md:1987,docs/architecture/connectivity-and-open-threads.md:1987,lcc,stated: flagged issue/footgun,,
INV1-0056,"4r. C6 — the band now fires on a CURRENT HOLDING, gated on reachability (SHIPPED 2026-08-29)",BD engine,docs/architecture/connectivity-and-open-threads.md:2018 (2026-08-29),docs/architecture/connectivity-and-open-threads.md:2018 (2026-08-29),lcc,stated: shipped/live,,
INV1-0057,§4p — B6c-dup: the two sale stores disagreed about which is canonical (2026-08-29),identity,docs/architecture/connectivity-and-open-threads.md:2087 (2026-08-29),docs/architecture/connectivity-and-open-threads.md:2087 (2026-08-29),lcc,stated: unspecified (finding/round note),,B6c-dup
INV1-0058,4q. B6b-lead — the lead lane that looked alive because another producer wore its name (2026-08-29),ingestion,docs/architecture/connectivity-and-open-threads.md:2157 (2026-08-29),docs/architecture/connectivity-and-open-threads.md:2157 (2026-08-29),lcc,stated: shipped/live,,B6b-lead
INV1-0059,Actor Attribution (B2 Phase 1) — foundation done + code change spec,docs & process,docs/architecture/actor-attribution-phase1.md:1,docs/architecture/actor-attribution-phase1.md:1,lcc,stated: unspecified (finding/round note),,B2
INV1-0060,Part 1 — The deal DATA PACKET (`buildDealPacket`),surfaces,docs/architecture/deal-surface-packet-and-layout.md:11,docs/architecture/deal-surface-packet-and-layout.md:11,lcc,stated: unspecified (finding/round note),,
INV1-0061,Part 2 — The deal-surface app layout,surfaces,docs/architecture/deal-surface-packet-and-layout.md:90,docs/architecture/deal-surface-packet-and-layout.md:90,lcc,stated: unspecified (finding/round note),,
INV1-0062,Rent Intelligence Engine — Phase 5 Report: The Self-Improving Loop,docs & process,docs/architecture/rent-intelligence-engine-phase5-report.md:1,docs/architecture/rent-intelligence-engine-phase5-report.md:1,lcc,stated: unspecified (finding/round note),,
INV1-0063,"5a. Sale-cap derivation (SHIPPED, applied live — batch `phase5a_20260808`)",docs & process,docs/architecture/rent-intelligence-engine-phase5-report.md:77,docs/architecture/rent-intelligence-engine-phase5-report.md:77,lcc,stated: shipped/live,,
INV1-0064,"5f. Inverse evidence (cap → rent) — SHIPPED, applied live — batch `phase5f_20260808`",docs & process,docs/architecture/rent-intelligence-engine-phase5-report.md:113,docs/architecture/rent-intelligence-engine-phase5-report.md:113,lcc,stated: shipped/live,,
INV1-0065,"5b. Listing validation + capless fills — SHIPPED, applied live — batch `phase5b_20260808`",docs & process,docs/architecture/rent-intelligence-engine-phase5-report.md:160,docs/architecture/rent-intelligence-engine-phase5-report.md:160,lcc,stated: shipped/live,,
INV1-0066,"5h. Convention auto-refit — SHIPPED, applied live — batch `phase5h_20260808`",docs & process,docs/architecture/rent-intelligence-engine-phase5-report.md:255,docs/architecture/rent-intelligence-engine-phase5-report.md:255,lcc,stated: shipped/live,,
INV1-0067,"4.2e PROMPT 115 — the bd_worklist view rewrite, and what priority-queue actually is (2026-08-16)",BD engine,docs/architecture/panel-redesign-verification.md:440 (2026-08-16),docs/architecture/panel-redesign-verification.md:440 (2026-08-16),lcc,stated: unspecified (finding/round note),,
INV1-0068,4.2f BROWSER VERIFICATION of Prompt 115 — the DB win DID translate (2026-08-15),surfaces,docs/architecture/panel-redesign-verification.md:539 (2026-08-15),docs/architecture/panel-redesign-verification.md:539 (2026-08-15),lcc,stated: unspecified (finding/round note),,
INV1-0069,"4.2l P117 — the ""0 Properties"" defect from §4.2j, root-caused and closed",surfaces,docs/architecture/panel-redesign-verification.md:764,docs/architecture/panel-redesign-verification.md:764,lcc,stated: refuted/retired,,P117
INV1-0070,"4.2o P118 — the decision backlog, and a number I nearly reported wrong",surfaces,docs/architecture/panel-redesign-verification.md:904,docs/architecture/panel-redesign-verification.md:904,lcc,stated: unspecified (finding/round note),,P118
INV1-0071,"4.2p P119 — the junk lane, and two hypotheses I had to abandon",surfaces,docs/architecture/panel-redesign-verification.md:955,docs/architecture/panel-redesign-verification.md:955,lcc,stated: unspecified (finding/round note),,P119
INV1-0072,"4.2q P120 + P117a — the value rank, and the bug it immediately exposed in my own work",surfaces,docs/architecture/panel-redesign-verification.md:1011,docs/architecture/panel-redesign-verification.md:1011,lcc,stated: unspecified (finding/round note),,P117a;P120
INV1-0073,"4.2r P121 — one canonical decision value, and the ordering footgun behind it",identity,docs/architecture/panel-redesign-verification.md:1072,docs/architecture/panel-redesign-verification.md:1072,lcc,stated: unspecified (finding/round note),,P121
INV1-0074,"4.2s P122 — two decisions NOT to build, and one invisible gap made visible",surfaces,docs/architecture/panel-redesign-verification.md:1121,docs/architecture/panel-redesign-verification.md:1121,lcc,stated: unspecified (finding/round note),,P122
INV1-0075,"7a. Phase 0 lessons (Geller MSA ranking, 2026-09-11)",docs & process,docs/architecture/BUYER-ENGAGEMENT-MODULE-SPEC-v0.1.md:201 (2026-09-11),docs/architecture/BUYER-ENGAGEMENT-MODULE-SPEC-v0.1.md:201 (2026-09-11),lcc,stated: unspecified (finding/round note),,
INV1-0076,9. Phase 0 outcome & build handoff (2026-09-11) — START HERE for the build,docs & process,docs/architecture/BUYER-ENGAGEMENT-MODULE-SPEC-v0.1.md:212 (2026-09-11),docs/architecture/BUYER-ENGAGEMENT-MODULE-SPEC-v0.1.md:212 (2026-09-11),lcc,stated: unspecified (finding/round note),,
INV1-0077,5. Phased bridge plan,flows / automation,docs/architecture/lcc-microsoft-copilot-outlook-audit-2026-05-22.md:123,docs/architecture/lcc-microsoft-copilot-outlook-audit-2026-05-22.md:123,lcc,stated: unspecified (finding/round note),,
INV1-0078,"⚠️ THE FLUSH USED TO RELABEL ANY UNBLESSED SOURCE, AND THE REGISTRY IS THE ALLOWLIST NOW (PR8, 2026-09-02)",docs & process,docs/architecture/field-provenance-ladder.md:261 (2026-09-02),docs/architecture/field-provenance-ladder.md:261 (2026-09-02),lcc,stated: flagged issue/footgun,,
INV1-0079,"⚠️ A RUNG WITH NO WRITES IS SEVEN DIFFERENT FACTS, AND ""UNREGISTERED"" IS NOT A LOW RUNG (PR5, 2026-09-02)",docs & process,docs/architecture/field-provenance-ladder.md:299 (2026-09-02),docs/architecture/field-provenance-ladder.md:299 (2026-09-02),lcc,stated: flagged issue/footgun,,
INV1-0080,"⚠️ A DERIVED COLUMN CAN REFUSE A VALUE THE TABLE IS SUPPOSED TO HOLD — AND THE WRITER FAILS OPEN (PR12, 2026-09-02)",docs & process,docs/architecture/field-provenance-ladder.md:359 (2026-09-02),docs/architecture/field-provenance-ladder.md:359 (2026-09-02),lcc,stated: flagged issue/footgun,,
INV1-0081,"⚠️ `target_database` IS A CLOSED VOCABULARY, AND FIVE CALLERS DID NOT KNOW (PR5c, 2026-09-02)",docs & process,docs/architecture/field-provenance-ladder.md:444 (2026-09-02),docs/architecture/field-provenance-ladder.md:444 (2026-09-02),lcc,stated: refuted/retired,,
INV1-0082,Rent Intelligence Engine — Phase 2 Report (Spine + Builder),docs & process,docs/architecture/rent-intelligence-engine-phase2-report.md:1,docs/architecture/rent-intelligence-engine-phase2-report.md:1,lcc,stated: unspecified (finding/round note),,
INV1-0083,NM attribution audit (added to Phase 2 scope) — **AUDIT FAILS; value-prop NOT published**,docs & process,docs/architecture/rent-intelligence-engine-phase2-report.md:88,docs/architecture/rent-intelligence-engine-phase2-report.md:88,lcc,stated: unspecified (finding/round note),,
INV1-0084,Phase 2 review resolution (2026-08-08) — all three gate items closed,docs & process,docs/architecture/rent-intelligence-engine-phase2-report.md:136 (2026-08-08),docs/architecture/rent-intelligence-engine-phase2-report.md:136 (2026-08-08),lcc,stated: refuted/retired,,
INV1-0085,A1. Detect + branch — `api/intake.js :: handleOutlookMessage`,ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:99,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:99,lcc,stated: unspecified (finding/round note),,
INV1-0086,"A2. Parser (pure, unit-tested) — new `api/_shared/sf-closing-email-parse.js`",ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:109,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:109,lcc,stated: unspecified (finding/round note),,
INV1-0087,A3. Handler — new `api/_handlers/sf-deal-closing.js`,ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:118,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:118,lcc,stated: unspecified (finding/round note),,
INV1-0088,A4. Record the sale — trigger the existing promote,ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:154,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:154,lcc,stated: unspecified (finding/round note),,
INV1-0089,A5. Link back,ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:163,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:163,lcc,stated: unspecified (finding/round note),,
INV1-0090,"A6. Optional enrichment (nice, not required for v1)",ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:168,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:168,lcc,stated: unspecified (finding/round note),,
INV1-0091,"A7. Tests (headless, deps-injected — codebase pattern)",ingestion,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:174,docs/architecture/sf_deal_closing_email_ingest_PLAN.md:174,lcc,stated: unspecified (finding/round note),,
INV1-0092,8. The tenant-class matcher (P130) — and the wrong turn that produced it,ownership,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:170,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:170,lcc,stated: unspecified (finding/round note),,P130
INV1-0093,Remaining gap after P130,ownership,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:206,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:206,lcc,stated: unspecified (finding/round note),,P130
INV1-0094,9. P131 — the payoff: named leads for owners we could not reach,ownership,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:216,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:216,lcc,stated: unspecified (finding/round note),,P131
INV1-0095,10. P132 — 294 owners we can call today (review lane),ownership,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:253,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:253,lcc,stated: unspecified (finding/round note),,P132
INV1-0096,"12. P134 — two corrections to §11, both against my own work (2026-08-18)",ownership,docs/architecture/sf-note-records-ownership-bridge-2026-08.md:374 (2026-08-18),docs/architecture/sf-note-records-ownership-bridge-2026-08.md:374 (2026-08-18),lcc,stated: unspecified (finding/round note),,P134
INV1-0097,Recommended phased build,docs & process,docs/architecture/deal-address-resolution-design.md:58,docs/architecture/deal-address-resolution-design.md:58,lcc,stated: unspecified (finding/round note),,
INV1-0098,NBT Phase 2 — SF-Activity sync (the progress + response signal),ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:1,docs/architecture/NBT_PHASE2_sf_activity_sync.md:1,lcc,stated: unspecified (finding/round note),,
INV1-0099,A1. Add object `Task` (calls / emails / to-dos),ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:35,docs/architecture/NBT_PHASE2_sf_activity_sync.md:35,lcc,stated: unspecified (finding/round note),,
INV1-0100,A2. Add object `Event` (meetings),ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:53,docs/architecture/NBT_PHASE2_sf_activity_sync.md:53,lcc,stated: unspecified (finding/round note),,
INV1-0101,A3. Envelope,ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:65,docs/architecture/NBT_PHASE2_sf_activity_sync.md:65,lcc,stated: unspecified (finding/round note),,
INV1-0102,B1. object_intake → activity_events,ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:81,docs/architecture/NBT_PHASE2_sf_activity_sync.md:81,lcc,stated: unspecified (finding/round note),,B1
INV1-0103,B2. The cadence advance is already wired,ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:96,docs/architecture/NBT_PHASE2_sf_activity_sync.md:96,lcc,stated: unspecified (finding/round note),,B2
INV1-0104,B3. The whose-book signal,ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:105,docs/architecture/NBT_PHASE2_sf_activity_sync.md:105,lcc,stated: unspecified (finding/round note),B3,B3
INV1-0105,B4. Feature-flag / rollout,ingestion,docs/architecture/NBT_PHASE2_sf_activity_sync.md:110,docs/architecture/NBT_PHASE2_sf_activity_sync.md:110,lcc,stated: unspecified (finding/round note),,B4
INV1-0106,Phases,docs & process,docs/architecture/deal-correspondence-attribution.md:49,docs/architecture/deal-correspondence-attribution.md:49,lcc,stated: unspecified (finding/round note),,
INV1-0107,Oncology / Infusion Phase A Build Plan v0.1,docs & process,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:1,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:1,lcc,stated: unspecified (finding/round note),,
INV1-0108,A0 — Freeze the executable contracts,docs & process,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:59,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:59,lcc,stated: unspecified (finding/round note),,
INV1-0109,A1 — Manifest and source-integrity validator,docs & process,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:70,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:70,lcc,stated: unspecified (finding/round note),,
INV1-0110,A2 — NUCC taxonomy gate,docs & process,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:82,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:82,lcc,stated: unspecified (finding/round note),,
INV1-0111,A3 — Streaming NPPES parser and candidate reducer,docs & process,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:93,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:93,lcc,stated: unspecified (finding/round note),,
INV1-0112,"A4 — Reproducibility, privacy and resource tests",infra / CI / security,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:110,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:110,lcc,stated: unspecified (finding/round note),,
INV1-0113,5. Phase A acceptance gate,docs & process,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:157,docs/architecture/ONCOLOGY-INFUSION-PHASE-A-BUILD-PLAN-v0.1.md:157,lcc,stated: unspecified (finding/round note),,
